iter	Passed	Remaining
0	4	2396
1	9	2375
2	13	2271
3	17	2172
4	21	2106
5	24	2048
6	28	2000
7	32	1970
8	35	1950
9	39	1939
10	43	1920
11	46	1905
12	50	1881
13	53	1871
14	57	1861
15	61	1849
16	64	1845
17	68	1837
18	72	1828
19	75	1814
20	79	1804
21	82	1796
22	85	1780
23	88	1763
24	92	1750
25	95	1741
26	98	1729
27	101	1715
28	105	1705
29	108	1699
30	111	1689
31	114	1680
32	118	1670
33	121	1662
34	124	1655
35	127	1647
36	130	1639
37	134	1630
38	137	1625
39	141	1627
40	144	1622
41	148	1615
42	151	1610
43	154	1604
44	158	1598
45	161	1589
46	164	1581
47	167	1573
48	170	1566
49	173	1560
50	176	1557
51	180	1553
52	183	1550
53	187	1547
54	190	1544
55	194	1543
56	198	1539
57	201	1535
58	205	1533
59	214	1571
60	218	1571
61	223	1577
62	227	1577
63	231	1576
64	235	1572
65	238	1569
66	242	1566
67	245	1562
68	249	1559
69	253	1557
70	257	1553
71	260	1549
72	264	1544
73	267	1540
74	271	1535
75	274	1531
76	277	1526
77	281	1521
78	284	1516
79	288	1513
80	292	1510
81	295	1507
82	300	1508
83	304	1506
84	307	1502
85	311	1497
86	314	1494
87	318	1490
88	321	1484
89	324	1480
90	338	1522
91	352	1562
92	358	1567
93	364	1573
94	370	1578
95	374	1575
96	383	1594
97	388	1593
98	392	1589
99	397	1589
100	401	1587
101	405	1583
102	409	1577
103	413	1574
104	417	1571
105	421	1567
106	426	1564
107	429	1559
108	432	1552
109	436	1546
110	439	1538
111	442	1533
112	445	1527
113	449	1520
114	452	1514
115	455	1508
116	460	1506
117	463	1499
118	466	1493
119	469	1487
120	472	1481
121	476	1475
122	479	1469
123	482	1462
124	485	1457
125	489	1452
126	492	1447
127	496	1442
128	499	1436
129	502	1430
130	505	1425
131	509	1419
132	512	1413
133	515	1407
134	518	1402
135	522	1397
136	526	1396
137	531	1393
138	550	1429
139	554	1426
140	558	1421
141	562	1417
142	565	1412
143	569	1409
144	573	1404
145	577	1400
146	580	1394
147	584	1389
148	587	1383
149	591	1379
150	595	1375
151	598	1371
152	602	1367
153	606	1362
154	610	1358
155	613	1353
156	618	1350
157	621	1346
158	625	1341
159	629	1336
160	633	1333
161	636	1328
162	640	1323
163	644	1319
164	647	1315
165	651	1310
166	654	1305
167	658	1300
168	661	1295
169	665	1291
170	669	1287
171	672	1283
172	676	1278
173	679	1274
174	683	1269
175	686	1264
176	689	1258
177	693	1254
178	696	1249
179	700	1245
180	703	1240
181	707	1235
182	711	1232
183	714	1227
184	717	1222
185	720	1216
186	723	1211
187	727	1206
188	730	1201
189	733	1196
190	737	1192
191	740	1188
192	744	1184
193	747	1179
194	750	1173
195	753	1168
196	756	1163
197	760	1159
198	764	1156
199	768	1152
200	771	1147
201	774	1143
202	777	1137
203	780	1133
204	784	1128
205	787	1123
206	791	1120
207	794	1115
208	798	1111
209	801	1107
210	804	1102
211	808	1098
212	811	1093
213	814	1088
214	817	1084
215	821	1079
216	824	1075
217	827	1070
218	830	1066
219	834	1061
220	837	1057
221	840	1052
222	843	1047
223	846	1043
224	849	1037
225	852	1033
226	855	1029
227	858	1024
228	861	1019
229	864	1015
230	867	1009
231	870	1005
232	873	1001
233	876	996
234	879	992
235	882	987
236	885	983
237	888	978
238	892	974
239	896	971
240	899	966
241	902	962
242	905	957
243	909	953
244	912	949
245	915	945
246	918	940
247	921	936
248	924	932
249	928	928
250	931	923
251	934	919
252	937	915
253	940	910
254	943	906
255	946	902
256	949	897
257	952	893
258	955	889
259	959	885
260	962	881
261	965	877
262	968	872
263	971	868
264	974	864
265	977	859
266	981	856
267	984	852
268	987	848
269	990	843
270	994	840
271	997	836
272	1000	832
273	1004	828
274	1007	823
275	1010	819
276	1013	815
277	1016	811
278	1019	807
279	1023	803
280	1026	799
281	1029	795
282	1032	791
283	1034	786
284	1037	782
285	1040	778
286	1043	774
287	1046	770
288	1049	766
289	1052	762
290	1055	758
291	1058	754
292	1061	750
293	1064	745
294	1067	741
295	1070	737
296	1073	733
297	1076	729
298	1079	726
299	1083	722
300	1086	718
301	1089	714
302	1092	710
303	1095	706
304	1098	702
305	1101	698
306	1105	694
307	1108	690
308	1111	686
309	1114	682
310	1117	679
311	1120	675
312	1123	671
313	1125	666
314	1128	663
315	1132	659
316	1135	655
317	1138	651
318	1141	647
319	1144	643
320	1147	639
321	1150	635
322	1152	631
323	1155	627
324	1159	624
325	1162	620
326	1165	616
327	1168	612
328	1171	609
329	1175	605
330	1178	601
331	1182	598
332	1185	594
333	1188	590
334	1192	587
335	1195	583
336	1198	579
337	1201	575
338	1204	572
339	1208	568
340	1211	564
341	1214	561
342	1219	558
343	1222	554
344	1225	550
345	1228	546
346	1231	542
347	1234	539
348	1237	535
349	1241	532
350	1244	528
351	1248	524
352	1251	521
353	1255	517
354	1258	513
355	1260	509
356	1262	505
357	1265	502
358	1269	498
359	1272	494
360	1275	491
361	1279	487
362	1282	483
363	1285	480
364	1288	476
365	1291	472
366	1294	469
367	1297	465
368	1301	461
369	1306	459
370	1311	456
371	1316	453
372	1321	450
373	1325	446
374	1328	442
375	1331	439
376	1334	435
377	1337	431
378	1341	428
379	1344	424
380	1346	420
381	1350	417
382	1353	413
383	1356	409
384	1359	406
385	1362	402
386	1365	398
387	1369	395
388	1372	391
389	1375	388
390	1378	384
391	1381	380
392	1384	377
393	1387	373
394	1390	369
395	1393	366
396	1397	362
397	1400	358
398	1403	355
399	1406	351
400	1409	347
401	1412	344
402	1414	340
403	1417	336
404	1420	333
405	1423	329
406	1426	325
407	1429	322
408	1432	318
409	1435	315
410	1438	311
411	1441	307
412	1444	304
413	1447	300
414	1450	297
415	1454	293
416	1456	289
417	1460	286
418	1463	282
419	1466	279
420	1469	275
421	1472	272
422	1476	268
423	1479	265
424	1482	261
425	1486	258
426	1489	254
427	1492	251
428	1495	247
429	1499	244
430	1502	240
431	1505	236
432	1508	233
433	1511	229
434	1514	226
435	1517	222
