,Total,Percent
SIZEOFPOSITIVELYMPHNODE(cm),914,85.82
ANTI TG PRE RAI ,873,81.97
EXTRANODALEXTENSION,835,78.4
ANTI TG PRE RAI (POSITIVE or NEGATIVE),662,62.16
TSH PRE RAI,650,61.03
LN RATIO,616,57.84
ANTI TG FOLLOW UP,606,56.9
TG PRE RAI,522,49.01
MULTICENTER_BILATERAL,511,47.98
NUMBEROFLYMPHNODEEXCISION,506,47.51
NUMBEROFPOSITIVELYMPHNODEEXCISION,500,46.95
ATA_2025_RISCO_INICIAL,420,39.44
BMI,377,35.4
PERINEURALINVASION,364,34.18
VASCULARINVASION,324,30.42
RAIDOSE,286,26.85
TYPEOFRESECTION,244,22.91
ANTI TG FOLLOW UP (POSITIVE or NEGATIVE),213,20.0
HASHIMOTO THYROIDITIS,209,19.62
EXTRATHYROIDALEXTENSION,114,10.7
POSITIVELYMPHNODEN1,93,8.73
THYROID DISEASE PREOP,91,8.54
SUBTYPE_FOLLI_PAPIL,67,6.29
TUMORSIZE (cm),60,5.63
RADIOTHERAPY EXPOSURE,43,4.04
TG FOLLOW UP,26,2.44
STAGE,24,2.25
TSH FOLLOW UP,22,2.07
FAMILY HISTORY OF THYROID CANCER,21,1.97
MULTICENTRIC,18,1.69
TNMN,14,1.31
OUTCOMEFOLLOWUP_MONTHSPOSTSURGERY,10,0.94
TNMM,6,0.56
RAI,5,0.47
TNMT,4,0.38
AGEATDIGNOSIS,2,0.19
SEX,2,0.19
HISTOLOGY,2,0.19
THYROIDECTOMY APPROACH,2,0.19
ATA_2015_RISCO_INICIAL,2,0.19
RECURRENCE,2,0.19
