feature,importance
TG FOLLOW UP,0.2719362440906081
TNMM,0.10030004397178602
AGEATDIGNOSIS,0.07713533686423321
TG PRE RAI,0.06878357162404067
TSH FOLLOW UP,0.05161980389503234
OUTCOMEFOLLOWUP_MONTHSPOSTSURGERY,0.046446421869644254
LN RATIO,0.03735231437561802
ANTI TG FOLLOW UP,0.03651206518079088
VASCULARINVASION,0.03397480717156935
SUBTYPE_FOLLI_PAPIL,0.027774262845199994
STAGE,0.027708523430386673
RAIDOSE,0.027559589449782887
TUMORSIZE (cm),0.025410158015095205
BMI,0.025248459239396615
NUMBEROFLYMPHNODEEXCISION,0.02482599908341925
TSH PRE RAI,0.02065952193635808
THYROID DISEASE PREOP,0.010545061688272846
MULTICENTER_BILATERAL,0.00979997615104317
TYPEOFRESECTION,0.009145074532540001
POSITIVELYMPHNODEN1,0.008646403130664627
