feature,importance
TG FOLLOW UP,0.16635366659709624
TSH FOLLOW UP,0.07332984303628633
RAIDOSE,0.06045337468166969
AGEATDIGNOSIS,0.058661339059843796
TUMORSIZE (cm),0.052640467164702165
STAGE,0.051108907065124054
OUTCOMEFOLLOWUP_MONTHSPOSTSURGERY,0.04173813423794299
TG PRE RAI,0.03461578486501349
BMI,0.03375998253790937
TNMM,0.032612176269989496
POSITIVELYMPHNODEN1,0.031459882376309686
VASCULARINVASION,0.030359959284907048
TNMT,0.029853193771365853
TSH PRE RAI,0.028625665787533297
TYPEOFRESECTION,0.026318304548832584
ANTI TG FOLLOW UP,0.02579463324263343
NUMBEROFLYMPHNODEEXCISION,0.023223942530416992
EXTRATHYROIDALEXTENSION,0.020594270394916257
TNMN,0.0197477438932535
SUBTYPE_FOLLI_PAPIL,0.0171299397884394
