feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,2.941472746707644,0.08605974346425957,2.783833066022713,3.052816398049752,LogisticRegression
tnm_m,1.664824704747004,0.14751615390629316,1.4324207616707567,1.8605989679392043,LogisticRegression
stage,1.4151500772071344,0.16706595913965108,1.1769382858847575,1.7193539507661586,LogisticRegression
hypothyroidism,1.3263451184557526,0.17913165329018016,1.020390471751959,1.554474057658775,LogisticRegression
tsh_follow,1.2585351746916082,0.13072784174154042,1.0813917008880647,1.4626432381216794,LogisticRegression
type_resection,0.834751562290885,0.37423664026240105,0.30182749151137844,1.5047182901236484,LogisticRegression
tnm_t,0.6606043801405327,0.12897654920281493,0.3355538133484057,0.8149403879061259,LogisticRegression
multicentric,0.5809853095097339,0.1886834184571824,0.23594665908393284,0.8352847334449404,LogisticRegression
extranod_exten,0.5293826834816818,0.35744117140377585,0.07203078155897312,1.183593752990828,LogisticRegression
sex,0.3420994591755949,0.09679719887044423,0.17683532695863238,0.5401272593607933,LogisticRegression
positive_ln,0.30453898145621333,0.12598552626312037,0.08897608472202011,0.4609285799671202,LogisticRegression
multicent_bilat,0.2553360581494056,0.20891462519408702,0.033857471802258184,0.6508621162637139,LogisticRegression
rai,0.23815118219825177,0.1499810715799621,0.0342395776949057,0.4778797501531488,LogisticRegression
vascular_inv,0.13567245766422434,0.10991806948032475,0.02359992202912996,0.3609637482025416,LogisticRegression
extra_thy_exten,0.08894288379552896,0.073640292249831,0.009421238297309207,0.24312308091546092,LogisticRegression
hyperthyroidism,0.07659244712589752,0.06868033805704621,0.00994435782134717,0.19943274159277033,LogisticRegression
thyrodectomy_approach,0.07173163849318792,0.05933832782760014,0.004730852228993711,0.1782917445803331,LogisticRegression
