feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,1.8558850291757936,0.5923328938731945,0.92242747594538,2.7422345120275438,LogisticRegression_tuned
tnm_m,0.9505752453870773,0.33954429061029134,0.46360939152194125,1.5156017387188798,LogisticRegression_tuned
tsh_follow,0.9203480088199234,0.20652114877383965,0.5320540472247913,1.199898207501978,LogisticRegression_tuned
stage,0.7244964375498136,0.27784330426916,0.3131678025992033,1.2315988335935002,LogisticRegression_tuned
hypothyroidism,0.5248383962677006,0.3108247448856809,0.18272468396555505,1.1583205663053042,LogisticRegression_tuned
type_resection,0.4237791499267772,0.2454390163100233,0.2027115183825973,1.009026407398824,LogisticRegression_tuned
extranod_exten,0.2757009562881846,0.1942969902542713,0.061747125371578476,0.5667044729237626,LogisticRegression_tuned
positive_ln,0.22282950792834316,0.06954305633665302,0.11042374438582149,0.30374664788024136,LogisticRegression_tuned
multicentric,0.2195274430860427,0.16038497707602106,0.025337164725823556,0.5114810363876549,LogisticRegression_tuned
tnm_t,0.21127219928138588,0.126602015409395,0.09364771087886418,0.46504707352476665,LogisticRegression_tuned
extra_thy_exten,0.16856509562224709,0.0687470463147254,0.0029605516776232904,0.26321205106482976,LogisticRegression_tuned
multicent_bilat,0.11868102268294638,0.09405975413643924,0.007512339515733479,0.33585026356294817,LogisticRegression_tuned
vascular_inv,0.11557590785136332,0.05905009263491877,0.034213799165188616,0.21884682040538966,LogisticRegression_tuned
rai,0.09511295029038389,0.07155396185182107,0.017803645199413097,0.21616633196569837,LogisticRegression_tuned
hyperthyroidism,0.09077885432292608,0.04757351060550743,0.019940247520206962,0.1804623103273604,LogisticRegression_tuned
sex,0.0823691208829811,0.09149614433664242,0.00460401596019729,0.276651184787678,LogisticRegression_tuned
thyrodectomy_approach,0.05293274005072818,0.04274776339374162,0.010101467095561539,0.13410122183066991,LogisticRegression_tuned
