feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,0.31223765801633985,0.01738633746951598,0.2842461309524405,0.34674889762198113,RandomForest_tuned
tsh_follow,0.08016848835866994,0.005434547276709392,0.07264435782238299,0.08892651364394695,RandomForest_tuned
number_ln_exc,0.060557796584007464,0.01024555438227298,0.04000079059518615,0.07233116524739744,RandomForest_tuned
tnm_m,0.05644423285028192,0.013798719005436095,0.03710313443727315,0.08801931332875139,RandomForest_tuned
tnm_t,0.05632287947472923,0.006928873614567282,0.05231746324699586,0.0754892640732112,RandomForest_tuned
bmi,0.05611513604626517,0.015274521544519188,0.01908530968015748,0.06652849418103564,RandomForest_tuned
stage,0.055196204833947174,0.013323537603126092,0.04311895590918303,0.08969176469846796,RandomForest_tuned
tnm_n,0.0516445805618035,0.008094036559198083,0.041835762879937,0.06646457354953642,RandomForest_tuned
age,0.04777585008012096,0.011601922299022382,0.018319956892529198,0.056934868756264426,RandomForest_tuned
extra_thy_exten,0.021979101045963758,0.0036840674608908247,0.0166093758659155,0.027220113099864385,RandomForest_tuned
subtype,0.018700473483402435,0.0047747598285677794,0.007351430359100913,0.023108665288867684,RandomForest_tuned
type_resection,0.01840458720177395,0.0057577404806695275,0.011717833749962832,0.027272470759133735,RandomForest_tuned
positive_ln,0.017580571888651038,0.0036130174400414486,0.012460608121526589,0.023371979700777954,RandomForest_tuned
tumor_size,0.01557956722586507,0.0030242425130725553,0.012428161411275096,0.021971979640842507,RandomForest_tuned
thyrodectomy_approach,0.01426504806342358,0.0018403230699538702,0.011529183520166303,0.01794981069108043,RandomForest_tuned
hyperthyroidism,0.013679007779947974,0.0014442572690130879,0.011537660428354088,0.016111870933851836,RandomForest_tuned
extranod_exten,0.013408318818700443,0.0066896320828989395,0.007061711987610625,0.027040092236772225,RandomForest_tuned
vascular_inv,0.013379599711350481,0.0038993498116307156,0.00808677220122597,0.021189550242901808,RandomForest_tuned
multicentric,0.01257225796697251,0.00322877453859138,0.00487987689219991,0.01628549634190789,RandomForest_tuned
rai,0.01246215827026721,0.0029933267051394214,0.01027921664422476,0.020731912863183627,RandomForest_tuned
hashimoto,0.010363432873737978,0.0017346878243084734,0.0066480064543130045,0.012419089832167962,RandomForest_tuned
multicent_bilat,0.009531674469013473,0.004051646955985702,0.0025682280600742634,0.017063382295083612,RandomForest_tuned
euthyroidism,0.008734839638302128,0.0017519030605266496,0.00536559681003161,0.0113597155519512,RandomForest_tuned
perineural_inv,0.005661789821304674,0.0024668548493345195,0.0025627173311326525,0.010512916944004896,RandomForest_tuned
family_history,0.005177615129265093,0.0015578247147359564,0.002603763228579695,0.007589829775680891,RandomForest_tuned
sex,0.004367115930543024,0.0007701424638591528,0.0029807615561203227,0.005597956683555114,RandomForest_tuned
hypothyroidism,0.0032761914614793967,0.0010133657042860047,0.0020026818592445935,0.005236758907757941,RandomForest_tuned
histology,0.002332446058594855,0.0007396801111991997,0.0008006717016992139,0.0033780584114427525,RandomForest_tuned
radiotherapy,0.0020813763552757726,0.000878839434026038,0.0004950220911155093,0.0030458249751345377,RandomForest_tuned
