model,imputation,best_cv_auc,best_params
LogisticRegression,1,0.9004786138900972,"{'model__solver': 'liblinear', 'model__max_iter': 3000, 'model__C': np.float64(0.46415888336127775)}"
LogisticRegression,2,0.8955776424532406,"{'model__solver': 'liblinear', 'model__max_iter': 5000, 'model__C': np.float64(0.1)}"
LogisticRegression,3,0.9009850659707119,"{'model__solver': 'liblinear', 'model__max_iter': 5000, 'model__C': np.float64(0.1)}"
LogisticRegression,4,0.9087551109177904,"{'model__solver': 'liblinear', 'model__max_iter': 5000, 'model__C': np.float64(0.1)}"
LogisticRegression,5,0.8941609757865739,"{'model__solver': 'liblinear', 'model__max_iter': 5000, 'model__C': np.float64(0.1)}"
LogisticRegression,6,0.8975703204291721,"{'model__solver': 'liblinear', 'model__max_iter': 3000, 'model__C': np.float64(0.021544346900318832)}"
LogisticRegression,7,0.9031306365086269,"{'model__solver': 'liblinear', 'model__max_iter': 5000, 'model__C': np.float64(0.1)}"
LogisticRegression,8,0.8976050094243874,"{'model__solver': 'liblinear', 'model__max_iter': 3000, 'model__C': np.float64(0.021544346900318832)}"
LogisticRegression,9,0.9090124329418587,"{'model__solver': 'liblinear', 'model__max_iter': 5000, 'model__C': np.float64(0.1)}"
LogisticRegression,10,0.9003550094243874,"{'model__solver': 'liblinear', 'model__max_iter': 3000, 'model__C': np.float64(0.46415888336127775)}"
CatBoost,1,0.8967406481078729,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,2,0.9025675293605916,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,3,0.9092359359141655,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,4,0.9048898796578222,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,5,0.8962828403653761,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,6,0.9047552921560099,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,7,0.9118595403798754,"{'model__learning_rate': np.float64(0.01291549665014884), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,8,0.8980446933449325,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,9,0.9068504784688995,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
CatBoost,10,0.9036947948383356,"{'model__learning_rate': np.float64(0.003593813663804626), 'model__l2_leaf_reg': 10, 'model__iterations': 500, 'model__depth': 5}"
XGBoost,1,0.8989338118022328,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
XGBoost,2,0.8993231114977526,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
XGBoost,3,0.9092964332318398,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.006812920690579615), 'model__colsample_bytree': 0.8}"
XGBoost,4,0.9044333768305058,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
XGBoost,5,0.8961051906626067,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
XGBoost,6,0.9082451790633609,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.006812920690579615), 'model__colsample_bytree': 0.8}"
XGBoost,7,0.9069887269827461,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 0.8}"
XGBoost,8,0.8980052921560098,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
XGBoost,9,0.9102395969261998,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
XGBoost,10,0.9011435406698564,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
GaussianNB,1,0.8701688415253008,{'model__var_smoothing': np.float64(1e-09)}
GaussianNB,2,0.8617482601130927,{'model__var_smoothing': np.float64(1e-09)}
GaussianNB,3,0.8626277004494707,{'model__var_smoothing': np.float64(1e-09)}
GaussianNB,4,0.877148615340003,{'model__var_smoothing': np.float64(1e-09)}
GaussianNB,5,0.8610527403218791,{'model__var_smoothing': np.float64(1e-09)}
GaussianNB,6,0.8712220168189069,{'model__var_smoothing': np.float64(1e-09)}
