Model,Balanced_State,Variables,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC,fine_tune
LogisticRegression,Balanced_SMOTE,38,0.9015151515151515,0.9636845730027549,0.7558139534883721,0.3333333333333333,0.75,0.46153846153846156,0.8693693693693694,False
LogisticRegression,Balanced_SMOTE,38,0.8931818181818182,0.9593135904499541,0.7674418604651163,0.34615384615384615,0.75,0.47368421052631576,0.8885135135135135,True
RandomForest,Balanced_SMOTE,38,1.0,0.9999999999999999,0.6976744186046512,0.26666666666666666,0.6666666666666666,0.38095238095238093,0.7640765765765766,False
RandomForest,Balanced_SMOTE,38,1.0,1.0,0.6976744186046512,0.26666666666666666,0.6666666666666666,0.38095238095238093,0.766891891891892,True
XGBoost,Balanced_SMOTE,38,1.0,1.0,0.2441860465116279,0.15584415584415584,1.0,0.2696629213483146,0.8153153153153153,False
XGBoost,Balanced_SMOTE,38,1.0,1.0,0.36046511627906974,0.1791044776119403,1.0,0.3037974683544304,0.8186936936936937,True
KNN,Balanced_SMOTE,38,0.9295454545454546,0.9901652892561983,0.8023255813953488,0.391304347826087,0.75,0.5142857142857142,0.7533783783783784,False
KNN,Balanced_SMOTE,38,1.0,1.0,0.7790697674418605,0.36,0.75,0.4864864864864865,0.7635135135135136,True
SVC,Balanced_SMOTE,38,0.9681818181818181,0.9955853994490358,0.7906976744186046,0.36363636363636365,0.6666666666666666,0.47058823529411764,0.8468468468468467,False
SVC,Balanced_SMOTE,38,0.9984848484848485,0.9999954086317723,0.8372093023255814,0.4375,0.5833333333333334,0.5,0.8085585585585586,True
GaussianNB,Balanced_SMOTE,38,0.803030303030303,0.8742481634527088,0.7325581395348837,0.3225806451612903,0.8333333333333334,0.46511627906976744,0.8890765765765766,False
GaussianNB,Balanced_SMOTE,38,0.803030303030303,0.8742481634527088,0.7325581395348837,0.3225806451612903,0.8333333333333334,0.46511627906976744,0.8890765765765766,True
