Model,Balanced_State,Variables,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC,fine_tune
LogisticRegression,Imbalanced,38,0.9242819843342036,0.9384648370497427,0.9069767441860465,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9144144144144145,False
LogisticRegression,Imbalanced,38,0.9216710182767625,0.9247141223556318,0.9069767441860465,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9132882882882883,True
RandomForest,Imbalanced,38,1.0,1.0,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.8147522522522522,False
RandomForest,Imbalanced,38,0.9751958224543081,0.9975414522584334,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.8457207207207207,True
XGBoost,Imbalanced,38,1.0,1.0,0.9302325581395349,0.875,0.5833333333333334,0.7,0.8851351351351351,False
XGBoost,Imbalanced,38,0.9412532637075718,0.9543453401943968,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.8789414414414415,True
KNN,Imbalanced,38,0.8981723237597912,0.9493067467124071,0.8837209302325582,0.75,0.25,0.375,0.7111486486486487,False
KNN,Imbalanced,38,0.8929503916449086,0.9356346483704974,0.8837209302325582,1.0,0.16666666666666666,0.2857142857142857,0.8400900900900901,True
SVC,Imbalanced,38,0.9490861618798956,0.9701114922813037,0.9069767441860465,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8592342342342343,False
SVC,Imbalanced,38,0.9490861618798956,0.9701114922813037,0.9069767441860465,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8592342342342343,True
GaussianNB,Imbalanced,38,0.8798955613577023,0.8587478559176671,0.8953488372093024,0.6153846153846154,0.6666666666666666,0.64,0.8716216216216216,False
GaussianNB,Imbalanced,38,0.8798955613577023,0.8587478559176671,0.8953488372093024,0.6153846153846154,0.6666666666666666,0.64,0.8716216216216216,True
