Model,Balanced_State,Variables,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC,fine_tune
LogisticRegression,Imbalanced,16,0.922976501305483,0.9325328759291024,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.9234234234234235,False
LogisticRegression,Imbalanced,16,0.9203655352480418,0.9322469982847342,0.9069767441860465,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9245495495495496,True
RandomForest,Imbalanced,16,1.0,1.0,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.8986486486486486,False
RandomForest,Imbalanced,16,0.9660574412532638,0.9950686106346485,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.9009009009009008,True
XGBoost,Imbalanced,16,1.0,1.0,0.9186046511627907,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.9358108108108107,False
XGBoost,Imbalanced,16,0.9255874673629243,0.9652158376214981,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.7860360360360361,True
KNN,Imbalanced,16,0.9112271540469974,0.9571826758147512,0.9069767441860465,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.7432432432432433,False
KNN,Imbalanced,16,1.0,1.0,0.9186046511627907,1.0,0.4166666666666667,0.5882352941176471,0.7477477477477477,True
SVC,Imbalanced,16,0.9295039164490861,0.9538021726700973,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.847972972972973,False
SVC,Imbalanced,16,0.912532637075718,0.931546598056032,0.9186046511627907,0.8571428571428571,0.5,0.631578947368421,0.9290540540540541,True
GaussianNB,Imbalanced,16,0.9007832898172323,0.8747712978845055,0.8953488372093024,0.6153846153846154,0.6666666666666666,0.64,0.8975225225225226,False
GaussianNB,Imbalanced,16,0.9007832898172323,0.8747712978845055,0.8953488372093024,0.6153846153846154,0.6666666666666666,0.64,0.8975225225225226,True
