feature,mean_importance,sd_importance,min_importance,max_importance,model
tsh_follow,1012.1,118.08043397993119,852,1252,LightGBM_tuned
tg_follow,1008.9,83.37792140475665,839,1125,LightGBM_tuned
stage,455.0,91.48041684790613,234,546,LightGBM_tuned
tnm_t,438.3,50.12883401795817,351,492,LightGBM_tuned
tnm_m,380.4,120.89131942001092,64,491,LightGBM_tuned
multicentric,349.2,57.93444571237391,253,432,LightGBM_tuned
extranod_exten,207.5,136.7903911505158,21,415,LightGBM_tuned
type_resection,186.7,102.68511738968472,50,380,LightGBM_tuned
hyperthyroidism,157.3,60.2366628852857,48,248,LightGBM_tuned
hypothyroidism,135.8,45.23715287239019,43,189,LightGBM_tuned
positive_ln,121.9,68.91452032127273,43,261,LightGBM_tuned
vascular_inv,119.0,68.85572678514919,25,215,LightGBM_tuned
sex,65.9,37.62519841217526,6,115,LightGBM_tuned
extra_thy_exten,59.2,67.90483537029353,3,177,LightGBM_tuned
thyrodectomy_approach,56.8,57.04150535647997,0,169,LightGBM_tuned
multicent_bilat,45.9,65.33749986714282,0,198,LightGBM_tuned
rai,29.8,51.721046650920236,0,166,LightGBM_tuned
