feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,2.832320804647174,0.09277346762661096,2.7048520348020526,2.9482816034474753,LogisticRegression
tnm_m,1.434901435390798,0.16551667839666814,1.22342806922877,1.7251056640813307,LogisticRegression
tnm_t,1.4004135029085951,0.13339733776398394,1.260726173204917,1.6359430016128251,LogisticRegression
stage,1.381615739625617,0.17423813915964428,1.0202940116548913,1.598035602896266,LogisticRegression
type_resection,1.147004886082122,0.28651655874081455,0.7795856930182028,1.535110700101326,LogisticRegression
tsh_follow,1.025179688013847,0.14031069469059268,0.7766038430317301,1.2624963536951712,LogisticRegression
histology,0.8229983648838874,0.10644925263276568,0.6801029783547266,0.9949184930729346,LogisticRegression
hypothyroidism,0.7831074566390919,0.1254499718280333,0.6328557302243293,1.0590093645683538,LogisticRegression
number_ln_exc,0.7031005770114378,0.20926992422884824,0.23264625133539202,1.0017092834551673,LogisticRegression
bmi,0.6006995134169812,0.5128755904849898,0.07802250745851437,1.3928949896697236,LogisticRegression
positive_ln,0.5781998887350485,0.2965411143811599,0.07044149568860952,0.9801966408030465,LogisticRegression
perineural_inv,0.5105222461661589,0.2832340900843088,0.06843628371841685,0.8829872762522124,LogisticRegression
hyperthyroidism,0.5073017023951327,0.08920073376648976,0.3579059976982101,0.6274626037084969,LogisticRegression
hashimoto,0.4540854972799459,0.1770075949601162,0.06732288678542687,0.6966971943515252,LogisticRegression
tumor_size,0.43473067522272524,0.07985490328268718,0.3052035540265452,0.554137216956123,LogisticRegression
multicentric,0.4055658070951983,0.2911152644170881,0.01058078960362827,0.9389154222311831,LogisticRegression
extranod_exten,0.39138913093001243,0.29562953551551213,0.005551480388410502,1.01013963222437,LogisticRegression
multicent_bilat,0.3581004741147574,0.338434737720973,0.0016663856487412856,0.8530863148498383,LogisticRegression
euthyroidism,0.3087924450273837,0.049728401994417554,0.2504726621738655,0.4175715561168519,LogisticRegression
vascular_inv,0.29712839554065185,0.26107715563833545,0.03511442840055913,0.8731602386181118,LogisticRegression
thyrodectomy_approach,0.24009388289901484,0.1132921612885338,0.04066435032153308,0.4076917251688858,LogisticRegression
subtype,0.20283846079555462,0.09181470773856314,0.0943720226629158,0.3451207894626104,LogisticRegression
radiotherapy,0.1813657066305466,0.12082181273253646,0.0185643030296085,0.4477879227993331,LogisticRegression
sex,0.17034369429449173,0.09663896120030646,0.059745518833378836,0.3435953612538567,LogisticRegression
tnm_n,0.16875132860242928,0.16207296131554919,0.018335352182472883,0.5097330818798522,LogisticRegression
family_history,0.14633442027991228,0.09116942552234948,0.03650711615013313,0.29038292127878956,LogisticRegression
extra_thy_exten,0.1172315672356031,0.11023569165047513,0.016354208950508806,0.3865360169157172,LogisticRegression
age,0.09356520650917655,0.07002203398916428,0.011633476552090474,0.2173547560173543,LogisticRegression
rai,0.0791044321680141,0.08238061450097484,0.007763139925108626,0.28417603003288533,LogisticRegression
