feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,1.643370034578658,0.287984833647302,0.8282692064007168,1.770023564328364,LogisticRegression_tuned
tsh_follow,0.726713189359272,0.12292966462750797,0.39521205270388665,0.8294779352259197,LogisticRegression_tuned
tnm_m,0.6585774199160317,0.12664205323713434,0.3092185699762618,0.7548483809392001,LogisticRegression_tuned
tnm_t,0.6281268095145567,0.11430247793092842,0.30816170243889035,0.7062259379525611,LogisticRegression_tuned
stage,0.6114952237264809,0.12044446043139767,0.280614310691014,0.6997854821645396,LogisticRegression_tuned
type_resection,0.42786266448026583,0.13314932326725346,0.2001094230108613,0.6238432859524292,LogisticRegression_tuned
tumor_size,0.389155480284946,0.08029174390962626,0.1710778106691717,0.4677245729617473,LogisticRegression_tuned
positive_ln,0.3190963830682655,0.10213134845352509,0.17342335773968484,0.4632904936247856,LogisticRegression_tuned
hypothyroidism,0.3064675276404392,0.07258839110584013,0.1323909632804359,0.3819336920686114,LogisticRegression_tuned
extra_thy_exten,0.21571832922720632,0.054363677042079235,0.13878555295083514,0.3137916583878054,LogisticRegression_tuned
number_ln_exc,0.21543748585619596,0.05974940994815834,0.0831985853238558,0.306388816993647,LogisticRegression_tuned
extranod_exten,0.21391164430586462,0.13546570049098056,0.027163810727160575,0.4969475099163818,LogisticRegression_tuned
hyperthyroidism,0.19707667509855187,0.07056411018722199,0.04146168149704343,0.2814254262402291,LogisticRegression_tuned
perineural_inv,0.19215245663278183,0.11892662997782212,0.0026270167894068635,0.3606883191411621,LogisticRegression_tuned
multicent_bilat,0.1581825162554344,0.14268109780341376,0.005566104190724768,0.3972169596255337,LogisticRegression_tuned
euthyroidism,0.14158205209463,0.024369887955045334,0.09181381788925029,0.17188097668041416,LogisticRegression_tuned
multicentric,0.12432700957795166,0.10255986903405916,0.00767293862808254,0.31832430250226035,LogisticRegression_tuned
vascular_inv,0.12101844306943861,0.09490900651913871,0.004186932702456134,0.3316474046538396,LogisticRegression_tuned
bmi,0.11204124424722392,0.0634437610148658,0.004253780717803339,0.20924505973100457,LogisticRegression_tuned
hashimoto,0.08831002875153511,0.03910252490514766,0.00499950127091716,0.13556029864349453,LogisticRegression_tuned
tnm_n,0.08199361440777003,0.035847790272178985,0.01761731033814092,0.14538409384737658,LogisticRegression_tuned
subtype,0.06538496033390688,0.03328321664120818,0.020117014726972606,0.11576164147038452,LogisticRegression_tuned
family_history,0.054878807326056545,0.026581281126124116,0.02237676716136696,0.11466632629510959,LogisticRegression_tuned
histology,0.05468319521032187,0.021560635589180293,0.00032804741232430245,0.07327609116893774,LogisticRegression_tuned
radiotherapy,0.05234199601834318,0.031861257467120735,0.006147125566248651,0.11393826001003744,LogisticRegression_tuned
age,0.04486115463179509,0.016388240629997993,0.009473502968421617,0.06375974438486323,LogisticRegression_tuned
sex,0.044039387103607996,0.01850620984537225,0.012974265491753229,0.08133266234807951,LogisticRegression_tuned
rai,0.037052772976420525,0.02705774216416179,0.0013800394669940743,0.09688449274855727,LogisticRegression_tuned
thyrodectomy_approach,0.03349871854396881,0.02119326015652503,0.0013069580218773682,0.06569157230422226,LogisticRegression_tuned
