Model,Balanced_State,Variables,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC,fine_tune
LogisticRegression,Balanced_SMOTE,16,0.8772727272727273,0.9485146923783287,0.7325581395348837,0.3225806451612903,0.8333333333333334,0.46511627906976744,0.8873873873873874,False
LogisticRegression,Balanced_SMOTE,16,0.871969696969697,0.9466689623507805,0.7441860465116279,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.8986486486486487,True
RandomForest,Balanced_SMOTE,16,1.0,1.0,0.7558139534883721,0.3333333333333333,0.75,0.46153846153846156,0.8181306306306306,False
RandomForest,Balanced_SMOTE,16,1.0,1.0,0.7558139534883721,0.3333333333333333,0.75,0.46153846153846156,0.8079954954954955,True
XGBoost,Balanced_SMOTE,16,1.0,1.0,0.3488372093023256,0.17647058823529413,1.0,0.3,0.8502252252252253,False
XGBoost,Balanced_SMOTE,16,0.9992424242424243,1.0,0.46511627906976744,0.20689655172413793,1.0,0.34285714285714286,0.8490990990990991,True
KNN,Balanced_SMOTE,16,0.9318181818181818,0.9860491276400367,0.7674418604651163,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.732545045045045,False
KNN,Balanced_SMOTE,16,1.0,1.0,0.7558139534883721,0.32,0.6666666666666666,0.43243243243243246,0.7635135135135136,True
SVC,Balanced_SMOTE,16,0.9340909090909091,0.9774586776859505,0.7790697674418605,0.36,0.75,0.4864864864864865,0.8355855855855856,False
SVC,Balanced_SMOTE,16,0.9628787878787879,0.9899185032139578,0.8255813953488372,0.42105263157894735,0.6666666666666666,0.5161290322580645,0.8018018018018018,True
GaussianNB,Balanced_SMOTE,16,0.8090909090909091,0.8813670798898072,0.7790697674418605,0.36,0.75,0.4864864864864865,0.8986486486486486,False
GaussianNB,Balanced_SMOTE,16,0.8090909090909091,0.8813670798898072,0.7790697674418605,0.36,0.75,0.4864864864864865,0.8986486486486486,True
